j,base,n,k_human,sil_human,k_gmm,sil_gmm,k_dbscan,sil_dbscan,k_H_s0,sil_H_s0,ari_H_s0,k_H_s1,sil_H_s1,ari_H_s1,k_H_s2,sil_H_s2,ari_H_s2,k_R_gmm,sil_R_gmm,ari_R_gmm,k_R_dbscan,sil_R_dbscan,ari_R_dbscan,k_R_shuffle,sil_R_shuffle,ari_R_shuffle
13949,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,4,0.2722630290799031,8,0.36641621587983275,3,0.9210809893518893,3.0,0.24509496703092665,0.17475728155339804,3.0,0.46172462356758925,0.31257344300822565,3.0,0.4223795231533976,0.1010575793184489,6.0,0.32030603743668545,0.11497730711043873,2.0,0.577077725279484,0.3661971830985915,2.0,0.10899660325024056,-0.07253886010362694
13965,f54baffc-bc26-4c4d-b940-824d08daf230,15,2,0.4994931121380126,8,0.3224844024675161,3,0.6443316798728668,3.0,0.6443316798728668,0.6145374449339207,3.0,0.6443316798728668,0.6145374449339207,3.0,0.6443316798728668,0.6145374449339207,8.0,0.2149217442279081,0.18060200668896323,3.0,0.13416379325191558,-0.006511123168746586,2.0,0.22074786696154916,-0.0675381263616558
13972,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,4,0.4037540067991121,8,0.42427543967368275,4,0.4647149523205244,3.0,0.3544125357422523,0.5092693565976009,3.0,0.35251985784181117,0.5176848874598071,3.0,0.30451110997640557,0.313778256189451,8.0,0.27465788093222554,0.5401459854014599,4.0,0.23049416906997386,0.4415807560137457,2.0,0.32581493592369576,0.3211488250652742
13976,e8770f4c-e648-4512-9529-b68de18f7703,30,2,0.3480203450194001,2,0.467277586086515,9,0.6895941852145598,3.0,0.4903603743383569,0.4729962379646751,4.0,0.35201154622400155,0.313982481938495,4.0,0.2722541713473774,0.2863838762596672,7.0,0.18483806749086643,0.3683805944653229,4.0,0.3697013276527659,0.5650000000000001,2.0,0.22858172993063533,0.19131316545546728
13977,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,6,0.3204502150041443,1,,3,0.37352842568677297,3.0,0.37940621225896537,0.268535997151667,3.0,0.37759882516711096,0.4652957657133795,3.0,0.37759882516711096,0.4652957657133795,1.0,,0.0,4.0,0.15631795781227012,0.36353652622871324,2.0,0.22407879161932293,0.14519314066796163
13991,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,4,0.29525749799709045,1,,2,0.12888205544791959,3.0,0.4161729243783084,0.4627275987091119,3.0,0.30687042275473697,0.6111694065524077,3.0,0.39922115927478985,0.40887290167865703,7.0,0.10824478406775702,0.36208875286916603,4.0,0.3296748063163466,0.5938025255354911,2.0,0.1811449749448174,0.06811760688006459
14003,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,3,0.39202535988776116,7,0.42048053002816743,2,0.3468107680518694,3.0,0.38908973072061814,0.5960720793682932,3.0,0.11106794647010403,0.29054054054054057,3.0,0.23984930934907042,0.08584733751771613,11.0,0.003266078085800624,0.11633663366336634,3.0,0.23887106626981217,0.04014308426073133,2.0,0.21621319588031704,0.3084522502744237
14010,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,5,0.2352623053140027,8,0.41181654415281255,1,,3.0,0.36864334225392764,0.38969192582858814,3.0,0.2878200693145649,0.21026229038268596,3.0,0.23208841146528814,0.29075072583990047,9.0,0.30670707474338443,0.4161331626120358,3.0,0.32801732818643287,0.28962478301508876,2.0,0.27698190887728835,0.11602527283170591
14018,e8770f4c-e648-4512-9529-b68de18f7703,30,4,0.4939642357186645,2,0.467277586086515,9,0.6895941852145598,3.0,0.30810519127711977,0.31462852987516665,3.0,0.39753538650411074,0.762326004943411,3.0,0.4175733248758163,0.6717835306361388,1.0,,0.0,5.0,0.26918637897589387,0.4625859890495577,2.0,0.2352878859305135,0.29435462211956814
14021,f54baffc-bc26-4c4d-b940-824d08daf230,15,2,0.4318434122150821,8,0.3224844024675161,3,0.6443316798728668,3.0,0.5323709459510785,0.609375,3.0,0.6443316798728668,0.5300261096605744,3.0,0.6443316798728668,0.5300261096605744,6.0,0.3268605842694511,0.24,3.0,0.293441222627887,0.2248062015503876,2.0,0.18799890749606904,-0.06870229007633591
