trial,agent,k,sil
130,dbscan,4,0.3793660171080533
131,human,4,0.455180090889191
131,gmm,8,0.2541787464769895
131,dbscan,3,0.5983035144857154
132,human,3,0.36453676619079817
132,gmm,8,0.2800594536364459
132,dbscan,2,0.028907271545995452
133,human,5,0.5351034843988942
133,gmm,8,0.47409783625815766
133,dbscan,5,0.4153336740669677
134,human,4,0.2567559465677887
134,gmm,8,0.48103562380359066
134,dbscan,8,0.5601012928261464
135,human,3,0.35032405011233797
135,gmm,7,0.35998962890167857
135,dbscan,2,0.14134003761741115
136,human,5,0.4057624977067055
136,gmm,8,0.3892827778810225
136,dbscan,6,0.3749837386128673
137,human,10,0.07153495814329927
137,gmm,7,0.5473991894604074
137,dbscan,7,0.48655127480442195
138,human,5,0.41317901363040394
138,gmm,8,0.46909417482119736
138,dbscan,5,0.35964300447429615
139,human,5,0.23963063520975691
139,gmm,1,
139,dbscan,6,0.2007451274969363
140,human,5,0.21542626715990404
140,gmm,1,
140,dbscan,7,0.15553712996968883
141,human,4,0.23384176735019432
141,gmm,1,
141,dbscan,3,0.28514417814493426
142,human,2,0.3520490819203115
142,gmm,1,
142,dbscan,2,0.12888205544791959
143,human,3,-0.04921217983475791
143,gmm,7,0.41383916988116054
143,dbscan,7,0.2968799907871945
144,human,3,0.2516274600915825
144,gmm,1,
144,dbscan,8,0.5301665326556435
145,human,4,-0.22109380536004788
145,gmm,1,
145,dbscan,9,0.4302236704918843
146,human,2,0.22003570334906275
146,gmm,1,
146,dbscan,10,0.5050324528639097
147,human,3,-0.0020327610387712598
147,gmm,2,0.5084190736730574
147,dbscan,10,0.3122080105465206
148,human,2,0.22620171755040985
148,gmm,8,0.4252183365256392
148,dbscan,7,0.28272031657392455
149,human,2,0.25667196668468995
149,gmm,8,0.47711887022021243
149,dbscan,3,0.2151765223733977
150,human,3,-0.02055312486627998
150,gmm,1,
150,dbscan,4,0.31217425023605666
151,human,3,0.006696117295835156
151,gmm,2,0.45687190864576444
151,dbscan,10,0.33775231955228074
152,human,3,0.4031216676043684
152,gmm,1,
152,dbscan,8,0.41936541024204904
153,human,3,0.2172703475741466
153,gmm,2,0.4672775860865151
153,dbscan,10,0.3827624031689932
154,human,2,0.3406397215569753
154,gmm,1,
154,dbscan,1,
155,human,2,0.3566602702885495
155,gmm,1,
155,dbscan,13,0.4411574452742846
156,human,6,0.12755636788290803
156,gmm,1,
156,dbscan,4,0.2494233727840936
157,human,2,0.33023325040895474
157,gmm,8,0.42427543967368275
157,dbscan,5,0.3237586808878782
158,human,5,0.30450959911973213
158,gmm,8,0.311294944133682
