j,base,sid,rt,n,ari_H,ari_H0,ari_H1,ari_H2,ari_Rgmm,ari_Rdbscan,ari_Rshuffle,ari_gmm_ref,ari_dbscan_ref,single_within,consensus,sil_human,sil_gmm,sil_dbscan,k_human,k_gmm,k_dbscan
86,6b397277-e2cf-4165-9f1a-32aeef65ebbc,exp1/clustering_data_123547_1779006855371.json,lasso,10,0.569586217710612,0.5871559633027523,0.3023255813953488,0.8192771084337349,0.25,0.3161094224924012,-0.10619469026548665,0.10094637223974763,0.4444444444444445,0.27899510412629286,0.13373860182370823,0.3924478797701613,0.36641621587983275,0.9210809893518893,2.0,8.0,3.0
87,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1/clustering_data_123547_1779006855371.json,lasso,20,0.2546787284027621,0.4407336125891543,0.24164671000114038,0.08165586261799161,0.09014725248413744,0.3593346071709565,0.13989179640057414,0.14221218961625284,0.0,0.18270229533182986,0.0782026106041354,0.1725131826259427,0.41181654415281255,nan,3.0,8.0,1.0
90,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1/clustering_data_123547_1779006855371.json,lasso,25,-0.018719572335340464,-0.029824302377085426,-0.012519797873142799,-0.01381461675579317,0.343229389149936,-0.060157790927021636,-0.09591607343574375,-0.028813028499843404,-0.15925058548009374,-0.07651374051449014,-0.09850497078242396,-0.32420088310725265,0.42427543967368275,0.4647149523205244,3.0,8.0,4.0
99,e8770f4c-e648-4512-9529-b68de18f7703,exp1/clustering_data_123547_1779006855371.json,lasso,30,0.44028738898037595,0.6870708259760644,0.36441522215580796,0.26937611880925544,0.41563675443310044,0.5516447368421052,0.0012007077856420753,0.5804851683464216,0.1722445641060596,0.4220064346991622,0.5000994497115958,0.29491461041817874,0.467277586086515,0.6895941852145598,3.0,2.0,9.0
102,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1/clustering_data_123547_1779006855371.json,lasso,30,0.4762531564203294,0.4838754502795207,0.5773407219962203,0.36754329698524696,0.22241126809097175,0.3701804999946376,0.04020142943107795,0.0,0.0026144604562856797,0.32772723271997883,0.4919041138460549,0.4238145071473561,nan,0.12888205544791959,2.0,1.0,2.0
105,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1/clustering_data_123547_1779006855371.json,lasso,35,0.3430237955192292,0.52908324787087,0.23753378510713305,0.2624543535796844,0.0,0.36909104031,0.11289320607669284,0.0,0.6624087591240876,0.4275109558985616,0.6175942950713394,0.48960685633852674,nan,0.37352842568677297,2.0,1.0,3.0
115,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1/clustering_data_144_1779008203482.json,lasso,20,0.28012062658136544,0.3155769020849252,0.314978695509669,0.209806282149502,0.06474050294275013,0.1250959324635457,0.04422332780541742,0.1446028513238289,0.0,0.2913949956451582,0.33977630578781626,0.3957053071698221,0.41181654415281255,nan,2.0,8.0,1.0
121,f54baffc-bc26-4c4d-b940-824d08daf230,exp1/clustering_data_144_1779008203482.json,lasso,15,0.904891304347826,0.904891304347826,0.904891304347826,0.904891304347826,0.36247723132969034,0.1481097876747799,0.2273730684326711,0.4262295081967213,0.904891304347826,0.7520230026904969,0.904891304347826,0.5505846140513749,0.3224844024675161,0.6443316798728668,4.0,8.0,3.0
126,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1/clustering_data_144_1779008203482.json,lasso,15,0.36608390043720157,0.1557017543859649,0.4420010995052226,0.5005488474204172,0.18060200668896323,0.055075593952483744,0.732824427480916,0.20233463035019456,-0.013948497854077339,0.18760421804818808,0.1557017543859649,0.2772478369124037,0.42048053002816743,0.3468107680518694,2.0,7.0,2.0
130,6b397277-e2cf-4165-9f1a-32aeef65ebbc,exp1/clustering_data_144_1779008203482.json,lasso,10,0.4781505862130598,0.17475728155339804,0.31257344300822565,0.9471210340775558,0.11497730711043873,0.3661971830985915,0.1139896373056995,0.20545746388443017,0.4444444444444445,0.36929430624698345,0.9471210340775558,0.28854359816991015,0.36641621587983275,0.9210809893518893,4.0,8.0,3.0
142,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1/clustering_data_144_1779008203482.json,lasso,30,0.10430818375943289,0.07202115051508796,0.1316883836983643,0.10921501706484639,0.17364743294698523,0.09287654429159727,-0.04729148753224423,0.0,-0.1038062283737025,0.167024582285343,0.0685719341709432,0.3520490819203115,nan,0.12888205544791959,2.0,1.0,2.0
