model,slope_k_vs_n,ARI_vs_human,k_mean,FM_vs_human,k_median,sil_median,ch_median,slope_k_vs_n,slope_num_vs_n,radial_median,unassigned
CAP0.04_s2,0.06896408090948943,0.4368639388688798,3.9450682852807284,0.621030438955286,4.0,0.36009202403574353,0.8083333333333335,0.06896408090948943,0.15856580738442158,222.96674286405562,0.0
CAP0.04_s3,0.08487505619123509,0.4260598511318484,4.0943854324734446,0.6094717301458226,4.0,0.32704367200187606,0.8333333333333333,0.08487505619123509,0.13507108164750703,215.64876236767822,0.0
CAP0.04_s4,0.0805949186994728,0.40282971818312224,3.9790591805766313,0.5942157860733857,4.0,0.3089666959983731,0.8601190476190477,0.0805949186994728,0.14264309917424214,216.39377063428552,0.0
CAP0.05_s0,0.08583560591200395,0.4391172932219946,4.121092564491654,0.6194707776259047,4.0,0.35800065295566197,0.8166666666666668,0.08583560591200395,0.13323779345454942,221.9810822471232,0.0
CAP0.05_s1,0.0875352130066926,0.42076181204737484,4.146889226100152,0.6058594529164598,4.0,0.32837275441826064,0.8166666666666667,0.0875352130066926,0.13130394829828612,217.1843412504849,0.0
CAP0.05_s2,0.06133351697335016,0.4204202769096248,4.280424886191199,0.6002334525126117,4.0,0.33011916392123747,0.825,0.06133351697335016,0.15667777073065947,221.42824651327186,0.0
CAP0.05_s3,0.0038667466812448204,0.39301342125464933,3.9787556904400607,0.5786591210242501,4.0,0.32095160026944414,0.8333333333333333,0.0038667466812448204,0.24677771109896443,220.6409086663813,0.0
CAP0.05_s4,0.01782552284367326,0.40344345284393546,3.887405159332322,0.5903471976614981,4.0,0.325185704905775,0.8166666666666667,0.01782552284367326,0.23347218376869183,220.41279496555242,0.0
CAP0.06_s0,0.011986914711860018,0.41778736823450663,3.9341426403641884,0.6016879653207374,4.0,0.32253234009368287,0.8333333333333333,0.011986914711860018,0.24001090440678471,226.70424260166615,0.0
CAP0.06_s1,0.09235894234861304,0.3984222477157418,4.2227617602427925,0.5868772077380368,4.0,0.3397227511725021,0.8412698412698413,0.09235894234861304,0.12543369226791845,218.14800167586586,0.0
CAP0.06_s2,0.019333733406227134,0.3903125536599438,3.8937784522003036,0.579644240233519,4.0,0.32837275441826064,0.8166666666666667,0.019333733406227134,0.2338885554948128,220.41279496555242,0.0
CAP0.06_s3,0.024542216691606156,0.40883022302834804,3.8515933232169957,0.5967660915579122,4.0,0.32095160026944414,0.8333333333333334,0.024542216691606156,0.22799939281900353,225.3109650217907,0.0
CAP0.06_s4,0.06649562178508663,0.43210758971018165,4.365705614567527,0.6120394144077079,4.0,0.32837275441826064,0.8333333333333333,0.06649562178508663,0.1515094676221934,219.81093210004846,0.0
CAP0.07_s0,0.07070503377765,0.40636741084908184,4.372382397572079,0.5870450279226553,4.0,0.32837275441826064,0.8583333333333334,0.07070503377765,0.1493100471456488,215.40790740501672,0.0
CAP0.07_s1,0.0862058707652122,0.428104198689415,4.2852807283763275,0.6076428487891994,4.0,0.3486366116190788,0.8166666666666667,0.0862058707652122,0.13260872154893164,221.9863315055291,0.0
CAP0.07_s2,0.02185268684284125,0.38307033005339763,3.8798179059180575,0.5749333847304827,4.0,0.2912410214956171,0.8166666666666667,0.02185268684284125,0.231775599417235,226.70424260166615,0.0
CAP0.07_s3,0.0808781084703489,0.42669261518995705,4.29165402124431,0.6059344196040165,4.0,0.342478911698758,0.8166666666666668,0.0808781084703489,0.13765727996699167,216.54848178451533,0.0
CAP0.07_s4,0.009601501832685981,0.4051641489117411,3.9144157814871017,0.590091729907781,4.0,0.32837275441826064,0.8229166666666667,0.009601501832685981,0.2382513025513689,226.41641434760115,0.0
CAP0.08_s0,0.13536735398493943,0.39431245725479486,4.625189681335357,0.5799132655600351,4.0,0.32036398360613083,0.8666666666666667,0.13536735398493943,0.07961421698535846,215.82228928169832,0.0
CAP0.08_s1,0.08568688694500877,0.4118924295776689,4.287405159332322,0.5949221504905856,4.0,0.3531554025188353,0.8333333333333333,0.08568688694500877,0.13326740183797564,218.37020114557578,0.0
CAP0.08_s2,0.13992485884179634,0.4045095404215742,4.614567526555387,0.5880646487615341,4.0,0.306500040400375,0.8857142857142858,0.13992485884179634,0.07413677313036039,215.3100848408132,0.0
CAP0.08_s3,0.11179450093182,0.3980765563921951,4.412443095599393,0.5863785714609909,5.0,0.32561345447361917,0.8476190476190476,0.11179450093182,0.10145910604298537,229.66600269425945,0.0
CAP0.08_s4,0.028357692739867695,0.4037980768675666,4.031866464339909,0.5880105358577731,4.0,0.32837275441826064,0.8333333333333333,0.028357692739867695,0.204813030950148,229.40989825227092,0.0
CAP0.0_s0,0.002061854428210686,0.44559175371348053,3.3332321699544765,0.6367137953049226,3.0,0.36864334225392764,0.7773809523809524,0.002061854428210686,0.30140675123789334,219.78586355582388,0.0
CAP0.0_s1,0.02247674166393803,0.44517522455776926,3.285887708649469,0.6367396441634006,3.0,0.35251985784181117,0.7777777777777778,0.02247674166393803,0.2689985017009138,218.24272658444474,0.0
CAP0.0_s2,0.022162847068087566,0.43458646980363436,3.2698027314112292,0.6306831830102722,3.0,0.365031638833176,0.7685185185185185,0.022162847068087566,0.27216826346703094,218.21208830703733,0.0
CAP0.0_s3,0.014214078617335068,0.4726521159533897,3.2069802731411228,0.6600249887905305,3.0,0.39202535988776116,0.7708333333333333,0.014214078617335068,0.2902023204584789,219.78586355582388,0.0
CAP0.0_s4,0.014505667375862397,0.4621058225777558,3.284370257966616,0.6499687881206989,3.0,0.39202535988776116,0.7676767676767676,0.014505667375862397,0.2886866378085052,217.55571868825973,0.0
CAP0.10_s0,0.13944909467278777,0.3893722508007816,4.619119878603946,0.5754313428240254,4.0,0.30049572709981176,0.8666666666666667,0.13944909467278777,0.07501988596963277,209.76699672197628,0.0
