exp,sid,person_hash,base_uuid,flipped,unique_uuid,n_points,event_index,total_events,event_progress,action,k,revisions_so_far,elapsed_s,silhouette,delta_silhouette,compactness,confidence,stop,post_action_s
exp3,exp3_P001,person_061,8ced8977-7d84-444f-9648-a0c4b65e45ce,0,trial_00089,20,2,15,0.1333333333333333,add,2,0,6.380900000095368,0.3117891666297826,,0.3850729633377185,,0,
exp3,exp3_P001,person_061,8ced8977-7d84-444f-9648-a0c4b65e45ce,0,trial_00089,20,3,15,0.2,add,3,0,11.393299999952315,0.1452877204478704,-0.1665014461819122,0.5444245347578711,,0,
exp3,exp3_P001,person_061,8ced8977-7d84-444f-9648-a0c4b65e45ce,0,trial_00089,20,4,15,0.2666666666666666,delete,2,1,12.771200000047685,0.3117891666297826,0.1665014461819122,0.3850729633377185,,0,
exp3,exp3_P001,person_061,8ced8977-7d84-444f-9648-a0c4b65e45ce,0,trial_00089,20,6,15,0.4,add,2,2,15.357900000095368,0.2601148771490671,-0.0516742894807155,0.336421622857728,,0,
exp3,exp3_P001,person_061,8ced8977-7d84-444f-9648-a0c4b65e45ce,0,trial_00089,20,8,15,0.5333333333333333,add,2,3,17.338900000095368,0.4453959376355989,0.1852810604865318,0.5422710421993358,,0,
exp3,exp3_P001,person_061,8ced8977-7d84-444f-9648-a0c4b65e45ce,0,trial_00089,20,10,15,0.6666666666666666,add,2,4,19.75379999995232,0.4453959376355989,0.0,0.5422710421993358,,0,
exp3,exp3_P001,person_061,8ced8977-7d84-444f-9648-a0c4b65e45ce,0,trial_00089,20,12,15,0.8,add,2,5,21.98079999995232,0.3690673627783289,-0.07632857485727,0.4556144804722227,,0,
exp3,exp3_P001,person_061,8ced8977-7d84-444f-9648-a0c4b65e45ce,0,trial_00089,20,14,15,0.9333333333333332,add,2,6,24.07679999995232,0.3117891666297826,-0.0572781961485462,0.3850729633377185,,0,
exp3,exp3_P001,person_061,8ced8977-7d84-444f-9648-a0c4b65e45ce,0,trial_00089,20,15,15,1.0,add,3,6,29.387600000143053,0.3144769541915269,0.0026877875617443,0.6174757401319739,,1,3.3242999999523164
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,2,40,0.05,add,2,0,1.815799999952316,0.565457483992137,,0.6800769615783249,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,3,40,0.075,add,3,0,7.5917999999523165,0.2991703530933288,-0.2662871308988082,0.7231835723423777,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,4,40,0.1,delete,2,1,8.549599999904633,0.565457483992137,0.2662871308988082,0.6800769615783249,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,8,40,0.2,add,2,3,11.370599999904632,0.4313913545660346,-0.1340661294261024,0.4747692937164184,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,12,40,0.3,add,2,5,15.535099999904633,0.4313913545660346,0.0,0.4747692937164184,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,13,40,0.325,add,3,5,17.2605,0.4402071648619476,0.0088158102959129,0.6767173075464631,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,14,40,0.35,add,4,5,19.3545,0.4313913545660346,-0.0088158102959129,0.4747692937164184,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,15,40,0.375,delete,3,6,20.792399999856947,0.4402071648619476,0.0088158102959129,0.6767173075464631,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,16,40,0.4,delete,2,7,22.712700000047683,0.4313913545660346,-0.0088158102959129,0.4747692937164184,,0,
