condition,person_hash,n_mid,observed_k,predicted_k,n_oos_predictions
exp3,person_099,12.5,2.78125,3.8322125,20
exp3,person_099,22.5,3.0625,4.258175,20
exp3,person_099,32.5,3.25,4.651375,20
exp3,person_099,40.0,3.125,4.859275,20
exp3,person_102,12.5,2.625,3.7975625,20
exp3,person_102,22.5,3.53125,4.2220625,20
exp3,person_102,32.5,4.15625,4.61845,20
exp3,person_102,40.0,4.3125,4.8377625,20
exp3,person_103,12.5,2.1875,3.8469124999999997,20
exp3,person_103,22.5,2.53125,4.2572875,20
exp3,person_103,32.5,2.34375,4.6535375000000005,20
exp3,person_103,40.0,2.6875,4.8820375,20
exp3,person_104,12.5,2.15625,3.8456625000000004,20
exp3,person_104,22.5,2.28125,4.2793125000000005,20
exp3,person_104,32.5,2.75,4.661075,20
exp3,person_104,40.0,3.125,4.900775,20
exp3,person_108,12.5,2.53125,3.8232,20
exp3,person_108,22.5,2.84375,4.2247625,20
exp3,person_108,32.5,2.65625,4.6230875,20
exp3,person_108,40.0,3.0,4.863075,20
exp3,person_109,12.5,2.0,3.8351374999999996,20
exp3,person_109,22.5,2.0,4.2644625,20
exp3,person_109,32.5,2.0,4.642575,20
exp3,person_109,40.0,2.0,4.8586,20
exp3,person_115,12.5,2.03125,3.8477249999999996,20
exp3,person_115,22.5,2.0,4.2571875,20
exp3,person_115,32.5,2.0,4.66175,20
exp3,person_115,40.0,2.0,4.861225,20
exp3,person_116,12.5,3.21875,3.8151874999999995,20
exp3,person_116,22.5,3.59375,4.2428,20
exp3,person_116,32.5,3.75,4.6292124999999995,20
exp3,person_116,40.0,3.5,4.8498375000000005,20
exp3,person_119,12.5,3.3125,3.7855625,20
exp3,person_119,22.5,3.78125,4.1944125,20
exp3,person_119,32.5,4.1875,4.579425,20
exp3,person_119,40.0,4.125,4.7923625,20
exp3,person_120,12.5,2.5625,3.8131500000000003,20
exp3,person_120,22.5,2.75,4.2486375,20
exp3,person_120,32.5,3.0,4.6434750000000005,20
exp3,person_120,40.0,3.3125,4.8247875,20
exp3,person_122,12.5,5.15625,3.8117875,20
exp3,person_122,22.5,6.25,4.229,20
exp3,person_122,32.5,7.21875,4.61695,20
exp3,person_122,40.0,7.1875,4.8126625,20
exp3,person_123,12.5,3.71875,3.8154000000000003,20
exp3,person_123,22.5,4.0625,4.2624375,20
exp3,person_123,32.5,3.21875,4.6601125,20
exp3,person_123,40.0,3.625,4.8802125,20
exp3,person_124,12.5,3.796875,3.8596125,20
exp3,person_124,22.5,5.078125,4.2740375,20
exp3,person_124,32.5,5.9375,4.652225,20
exp3,person_124,40.0,6.59375,4.8653125,20
exp3,person_127,12.5,3.375,3.8061374999999997,20
exp3,person_127,22.5,4.375,4.2374125,20
exp3,person_127,32.5,4.71875,4.588975,20
exp3,person_127,40.0,4.6875,4.7700125,20
exp3,person_129,12.5,2.875,3.7982,20
exp3,person_129,22.5,3.5,4.227237499999999,20
exp3,person_129,32.5,3.875,4.614325,20
exp3,person_129,40.0,3.75,4.810875,20
exp3,person_130,12.5,2.375,3.8072625,20
exp3,person_130,22.5,2.9375,4.228625,20
exp3,person_130,32.5,3.46875,4.5947625,20
exp3,person_130,40.0,3.75,4.8175,20
exp3,person_131,12.5,2.75,3.79855,20
exp3,person_131,22.5,3.09375,4.211399999999999,20
exp3,person_131,32.5,3.125,4.6094625,20
exp3,person_131,40.0,3.375,4.8244875,20
exp4,person_004,12.5,2.142857142857143,3.8383375,20
exp4,person_004,22.5,2.142857142857143,4.22975,20
exp4,person_004,32.5,2.125,4.418075,20
exp4,person_004,40.0,2.3333333333333335,4.6682125,20
exp4,person_005,12.5,3.3529411764705883,3.9233874999999996,20
exp4,person_005,22.5,3.8,4.279375,20
exp4,person_005,32.5,3.7368421052631584,4.4696875,20
exp4,person_005,40.0,3.8,4.6933125,20
exp4,person_006,12.5,2.736842105263158,3.856875,20
exp4,person_006,22.5,3.0,4.27865,20
exp4,person_006,32.5,3.6875,4.4577125,20
exp4,person_006,40.0,3.25,4.7176625,20
exp4,person_007,12.5,3.1052631578947367,3.8263875,20
